#{"t_start": 1702278341.546579, "env_id": "ContactProcess"}
r,l,t
-290193.373155,187,57.327641
-94269.736659,62,57.389182
-57191.825005,37,57.424879
-39389.608566,27,57.452028
-79179.276992,49,57.497909
-61379.199404,39,57.591288
-49383.79935,33,57.625624
-197940.131741,125,57.739068
-123268.232706,78,57.860761
-47479.264113,30,57.887152
-190146.974628,117,57.989396
-197948.874853,124,58.144711
-27085.449345,17,58.162454
-71277.624842,45,58.203805
-93668.435236,59,58.257245
-125766.333483,77,58.322717
-15297.22652,10,58.334
-64181.328541,43,58.429
-173746.678066,108,58.520889
-68685.159827,42,58.557553
-96378.588705,61,58.607111
-86954.91668,54,58.705956
-22796.186168,14,58.723197
-24695.946422,15,58.738931
-102966.44838,67,58.79759
-70185.837952,44,58.839773
-219628.187206,137,59.008047
-11798.782098,7,59.016813
-321304.716649,201,59.187026
-37691.290125,24,59.263688
-85484.333862,52,59.310905
-57989.303848,38,59.347479
-41287.719297,27,59.374603
-51385.673777,33,59.405803
-14598.407223,9,59.418234
-41289.014275,26,59.445028
-53288.699139,35,59.479857
-398062.90908,252,59.739808
-169458.544792,109,59.888174
-80966.476718,53,59.935274
-17396.925676,11,59.948279
-71774.342473,46,59.991256
-254899.757992,162,60.184961
-56477.90429,33,60.215438
-98757.782885,64,60.274793
-235410.403596,152,60.453536
-120871.21565,73,60.517728
-71082.357486,47,60.565691
-287912.187472,186,60.772442
-79769.032694,50,60.819693
-135767.95422,85,60.944031
-454437.061364,292,61.235861
-34694.092561,23,61.260228
-52683.326433,34,61.289268
-45382.997616,30,61.318523
-62877.094108,40,61.35158
-73376.322419,48,61.395391
-34488.898045,22,61.469864
-133362.181807,84,61.542377
-15298.602058,10,61.55208
-29486.931966,20,61.573323
-71569.880348,44,61.613454
-59369.276251,37,61.649861
-154344.319847,97,61.783542
-38689.433006,25,61.809592
-271333.366203,172,61.95447
-121169.251084,77,62.072771
-23893.875629,16,62.089293
-37889.027975,25,62.11865
-105868.630154,67,62.178646
-34885.511185,23,62.20476
-66676.703747,43,62.244234
-139047.412118,91,62.373437
-50885.227104,32,62.402411
-66972.074724,43,62.44022
-55577.77553,36,62.47629
-88477.92114,55,62.526876
-47184.250037,31,62.607618
-33288.470891,21,62.630646
-128970.473131,83,62.704075
-115858.040239,74,62.770027
-109368.546633,71,62.882886
-104872.173997,65,62.93697
-155650.305336,98,63.021139
-139842.121505,89,63.09901
-99283.858001,65,63.208471
-82563.856172,53,63.255894
-108369.208896,66,63.312366
-68280.13736,46,63.356775
-16297.494304,12,63.370183
-75472.836628,48,63.464574
-76281.669168,48,63.508315
-146544.246802,92,63.586841
-67871.882805,42,63.622646
-56886.869204,36,63.658981
-115349.958685,74,63.782477
-72883.167119,47,63.835329
-86061.175271,56,63.890342
-51488.227758,33,63.922869
-49792.269961,32,63.960312
-96867.388904,62,64.081597
-33889.858766,21,64.10574
-155450.373062,100,64.202007
-48478.890731,31,64.234024
-51089.074054,32,64.267504
-111161.672744,71,64.396297
-173054.209165,108,64.490377
-57780.875944,39,64.529838
-32786.493762,22,64.554438
-33784.543032,21,64.578877
-101571.024928,63,64.694734
-34887.905188,24,64.721968
-66382.097048,42,64.762308
-177842.475523,118,64.868022
-70585.4434,45,64.974246
-8098.938506,6,64.979856
-37791.310862,25,65.007114
-44084.978415,28,65.040541
-56784.333054,35,65.080046
-53383.177294,33,65.119202
-64783.728953,41,65.159339
-86977.928366,56,65.210962
-103461.70322,64,65.320678
-75574.322009,49,65.366491
-29297.446975,19,65.387599
-81171.775623,52,65.435298
-92169.124587,59,65.488578
-16592.606368,11,65.50258
-65080.991392,39,65.604576
-95771.306336,59,65.663636
-54890.483189,35,65.699583
-7700.0005,5,65.704958
-24884.894363,16,65.72438
-31787.529207,19,65.743751
-160332.5447,104,65.834835
-27887.380291,18,65.907308
-69385.060712,45,65.949533
-27292.824036,18,65.969842
-78966.582747,52,66.016538
-38288.167678,26,66.041142
-63883.493857,40,66.074145
-29087.372324,19,66.094704
-152646.924996,96,66.230695
-63372.088936,40,66.267481
-43082.407241,26,66.29149
-123753.991935,78,66.358709
-195232.406157,126,66.521088
-124571.193094,78,66.589347
-59280.905762,37,66.626045
-134759.428753,85,66.7507
-41288.453954,25,66.774439
-65285.905938,41,66.814114
-76783.655804,48,66.856761
-238430.41919,153,67.036256
-158440.474467,101,67.121408
-33893.080516,22,67.14121
-144054.413843,94,67.219356
-29887.178059,19,67.286988
